date_time,day_of_week,time_of_day,region,channel,season,promo,reservation,party_size,price_level,seats_available,staffing_level,staffing_ratio,server_experience,kitchen_load,queue_length,order_complexity,ingredient_freshness,chef_experience,manager_on_duty,weather,cuisine,table_type,allergens_flag,customer_id,order_id,waiting_time,food_quality,service_quality,overall_satisfaction,wait_issue,low_food_quality,complaint,return_intent
1/1/2024 11:00,Mon,Lunch,Tourist,Dine-In,High,0,0,4,31,48,8,2,4,79,13,4,60,4,C,Cold,Burgers,Booth,0,23,100023,47,2,5,6,1,1,1,0
1/1/2024 11:30,Mon,Lunch,Suburban,Delivery,High,0,1,3,21,51,8,2,6,89,10,4,42,3,C,Cold,BBQ,Booth,0,24,100024,49,1,4,4,1,1,1,0
1/1/2024 12:00,Mon,Afternoon,Suburban,Dine-In,High,0,0,3,20,60,8,1,3,59,6,2,38,5,A,Rain,BBQ,Standard,0,25,100025,23,2,4,7,0,1,1,0
1/1/2024 12:30,Mon,Dinner,Urban,Takeaway,High,0,1,3,32,39,7,2,4,79,13,5,55,4,B,Cold,Burgers,Booth,0,26,100026,40,2,5,6,1,1,1,0
1/1/2024 13:00,Mon,Lunch,Suburban,Takeaway,High,0,0,2,34,64,7,1,3,100,13,4,63,4,A,Rain,Burgers,High-Top,0,27,100027,54,2,3,5,1,1,1,0
1/1/2024 13:30,Mon,Afternoon,Suburban,Delivery,Shoulder,0,1,3,18,57,9,2,2,41,8,4,61,3,A,Hot,Burgers,Standard,1,28,100028,16,3,4,9,0,0,0,1
1/1/2024 14:00,Mon,Dinner,Urban,Takeaway,Shoulder,0,0,4,28,50,9,2,4,85,13,3,73,5,D,Rain,BBQ,Booth,0,29,100029,44,3,4,5,1,0,1,0
1/1/2024 14:30,Mon,Breakfast,Suburban,Dine-In,Shoulder,0,1,4,19,55,9,2,4,61,5,3,64,4,C,Clear,Pizza,Standard,0,30,100030,20,3,5,9,0,0,0,1
1/1/2024 15:00,Mon,Dinner,Tourist,Dine-In,High,0,1,4,25,59,7,1,3,93,13,5,48,3,C,Storm,Pasta,High-Top,0,31,100031,45,2,3,3,1,1,1,0
1/1/2024 15:30,Mon,Lunch,Tourist,Dine-In,Shoulder,0,0,3,20,38,7,2,1,96,15,4,59,3,C,Storm,Pizza,Booth,0,32,100032,56,1,4,2,1,1,1,0
1/1/2024 16:00,Mon,Breakfast,Urban,Dine-In,High,0,0,3,25,70,8,1,1,29,6,3,79,3,C,Cloudy,Pizza,Patio,0,33,100033,21,3,3,9,0,0,0,1
1/1/2024 16:30,Mon,Late Night,Suburban,Dine-In,High,0,1,4,24,58,7,1,4,48,7,2,65,5,A,Cloudy,Pizza,High-Top,0,34,100034,16,3,4,7,0,0,0,1
1/1/2024 17:00,Mon,Late Night,Urban,Dine-In,Low,0,1,3,24,56,4,1,3,58,1,2,73,6,C,Rain,Pasta,High-Top,0,35,100035,27,3,3,6,1,0,1,0
1/1/2024 17:30,Mon,Dinner,Urban,Dine-In,Shoulder,0,0,2,27,45,6,1,3,100,13,3,51,2,D,Storm,Curry,Standard,0,36,100036,52,2,4,4,1,1,1,0
1/1/2024 18:00,Mon,Lunch,Urban,Delivery,Low,1,0,2,31,64,7,1,3,78,13,3,56,2,D,Clear,Pizza,Standard,0,37,100037,50,2,3,4,1,1,1,0
1/1/2024 18:30,Mon,Breakfast,Suburban,Takeaway,Low,0,0,2,32,47,8,2,2,54,1,2,76,5,A,Cold,Curry,Booth,0,38,100038,25,4,5,10,1,0,1,0
1/1/2024 19:00,Mon,Dinner,Tourist,Dine-In,Shoulder,1,1,2,23,46,7,2,3,94,9,4,42,4,A,Clear,BBQ,Standard,0,39,100039,42,2,4,5,1,1,1,0
1/1/2024 19:30,Mon,Afternoon,Suburban,Dine-In,High,0,0,2,22,50,7,1,3,47,3,3,55,2,B,Clear,Sushi,High-Top,0,40,100040,22,2,4,6,0,1,1,0
1/1/2024 20:00,Mon,Breakfast,Tourist,Dine-In,Shoulder,0,1,2,26,45,7,2,3,62,3,4,71,3,B,Rain,Pizza,Standard,0,41,100041,19,3,5,9,0,0,0,1
1/1/2024 20:30,Mon,Afternoon,Suburban,Dine-In,High,0,1,2,24,70,5,1,3,55,4,2,62,6,C,Rain,Salads,Booth,0,42,100042,28,3,3,6,1,0,1,0
1/1/2024 21:00,Mon,Breakfast,Suburban,Takeaway,Low,0,0,1,24,60,9,2,2,53,5,3,68,5,A,Hot,BBQ,Standard,0,43,100043,32,3,4,8,1,0,1,0
1/1/2024 21:30,Mon,Late Night,Urban,Dine-In,Low,0,0,3,20,51,7,1,3,64,6,3,70,5,A,Clear,Sushi,Booth,0,44,100044,40,3,4,7,1,0,1,0
1/1/2024 22:00,Mon,Lunch,Urban,Takeaway,Low,0,0,3,26,57,6,1,2,100,9,3,42,2,D,Clear,Pizza,Booth,0,45,100045,55,2,3,3,1,1,1,0
1/1/2024 22:30,Mon,Dinner,Urban,Dine-In,Shoulder,0,1,2,26,47,7,1,3,89,10,4,42,4,D,Rain,Pizza,Booth,0,46,100046,50,2,4,4,1,1,1,0
1/1/2024 23:00,Mon,Lunch,Tourist,Dine-In,High,0,0,3,29,45,6,1,2,65,10,4,67,3,D,Rain,Salads,Booth,1,47,100047,39,3,4,6,1,0,1,0
1/1/2024 23:30,Mon,Afternoon,Urban,Dine-In,Low,0,0,4,21,65,8,1,3,50,5,3,61,5,A,Hot,Pasta,Patio,0,48,100048,22,3,4,9,0,0,0,1
2/1/2024 0:00,Tue,Afternoon,Suburban,Dine-In,High,0,0,1,29,57,7,1,2,74,5,3,58,3,B,Hot,Burgers,Booth,0,49,100049,27,2,4,6,1,1,1,0
2/1/2024 0:30,Tue,Lunch,Suburban,Dine-In,High,0,1,2,23,42,7,2,4,88,16,5,59,3,A,Cloudy,Curry,Booth,0,50,100050,43,3,4,5,1,0,1,0
2/1/2024 1:00,Tue,Late Night,Suburban,Takeaway,Low,0,1,2,31,66,7,1,4,44,2,2,75,5,A,Storm,Salads,Standard,0,51,100051,16,4,5,10,0,0,0,1
2/1/2024 1:30,Tue,Dinner,Urban,Takeaway,High,0,0,1,25,49,6,1,3,98,15,5,63,4,A,Clear,Curry,Booth,0,52,100052,61,2,4,3,1,1,1,0
2/1/2024 2:00,Tue,Late Night,Urban,Dine-In,Low,1,0,4,31,66,10,2,2,53,1,3,75,4,B,Clear,Burgers,Patio,0,53,100053,22,2,5,8,0,1,1,0
2/1/2024 2:30,Tue,Dinner,Urban,Takeaway,High,0,1,2,25,47,5,1,2,87,13,4,67,4,D,Hot,Sushi,High-Top,0,54,100054,45,2,3,3,1,1,1,0
2/1/2024 3:00,Tue,Dinner,Urban,Dine-In,Shoulder,1,0,2,31,58,9,2,4,76,15,4,65,4,C,Hot,Curry,Standard,0,55,100055,49,2,4,6,1,1,1,0
2/1/2024 3:30,Tue,Late Night,Urban,Delivery,Shoulder,0,1,1,24,60,7,1,3,58,7,4,59,5,C,Cloudy,BBQ,High-Top,0,56,100056,32,2,4,7,1,1,1,0
2/1/2024 4:00,Tue,Breakfast,Urban,Dine-In,Shoulder,0,0,3,25,68,9,1,3,56,10,2,68,4,C,Storm,BBQ,Booth,0,57,100057,31,3,4,8,1,0,1,0
2/1/2024 4:30,Tue,Lunch,Urban,Takeaway,Low,0,1,1,30,58,8,1,2,83,20,3,63,4,B,Cloudy,Burgers,Booth,0,58,100058,48,2,4,5,1,1,1,0
2/1/2024 5:00,Tue,Breakfast,Suburban,Dine-In,Low,1,0,3,24,70,9,1,1,63,6,3,62,5,B,Storm,Salads,Booth,0,59,100059,34,3,4,6,1,0,1,0
2/1/2024 5:30,Tue,Lunch,Suburban,Dine-In,High,0,0,3,20,51,5,1,4,83,9,2,49,4,C,Cold,Salads,Standard,0,60,100060,55,2,3,3,1,1,1,0
2/1/2024 6:00,Tue,Lunch,Suburban,Dine-In,Shoulder,0,1,4,25,53,7,1,3,77,24,4,57,4,C,Clear,Curry,Booth,0,61,100061,37,2,4,6,1,1,1,0
2/1/2024 6:30,Tue,Lunch,Suburban,Dine-In,Low,0,0,1,26,48,10,2,1,100,16,3,62,4,B,Cloudy,Sushi,Standard,0,62,100062,46,3,4,6,1,0,1,0
2/1/2024 7:00,Tue,Dinner,Urban,Dine-In,High,0,0,1,35,43,7,2,2,82,16,3,55,4,C,Hot,BBQ,High-Top,0,63,100063,53,2,4,4,1,1,1,0
2/1/2024 7:30,Tue,Lunch,Suburban,Dine-In,High,0,0,3,28,66,7,1,1,67,12,2,58,4,A,Cloudy,Burgers,Standard,1,64,100064,44,3,3,5,1,0,1,0
2/1/2024 8:00,Tue,Lunch,Urban,Delivery,Shoulder,1,0,5,29,44,7,2,4,65,13,4,35,3,D,Cold,Pasta,Standard,0,65,100065,47,2,4,5,1,1,1,0
2/1/2024 8:30,Tue,Afternoon,Suburban,Takeaway,High,0,1,4,25,67,9,1,3,60,3,3,81,4,B,Cloudy,Curry,High-Top,0,66,100066,11,2,4,9,0,1,1,0
2/1/2024 9:00,Tue,Breakfast,Suburban,Takeaway,High,1,1,3,26,66,8,1,4,47,7,2,78,6,D,Clear,BBQ,Booth,0,67,100067,16,4,5,10,0,0,0,1
2/1/2024 9:30,Tue,Dinner,Suburban,Takeaway,High,0,1,2,23,51,7,1,1,93,12,4,62,1,C,Cold,BBQ,Standard,0,68,100068,37,2,4,5,1,1,1,0
2/1/2024 10:00,Tue,Breakfast,Urban,Delivery,High,0,1,4,22,59,8,1,4,56,7,2,71,5,C,Hot,Sushi,Booth,0,69,100069,20,3,4,8,0,0,0,1
2/1/2024 10:30,Tue,Late Night,Suburban,Dine-In,Shoulder,0,1,1,28,59,7,1,3,98,3,3,72,4,B,Hot,BBQ,Standard,0,70,100070,31,3,4,8,1,0,1,0
2/1/2024 11:00,Tue,Dinner,Urban,Dine-In,Low,1,1,3,27,45,10,2,1,74,16,4,74,4,B,Rain,Sushi,Standard,1,71,100071,38,3,5,7,1,0,1,0
2/1/2024 11:30,Tue,Lunch,Suburban,Takeaway,Low,0,0,3,28,51,7,1,5,98,14,4,66,2,A,Cold,Sushi,Standard,0,72,100072,56,2,4,4,1,1,1,0
2/1/2024 12:00,Tue,Breakfast,Urban,Takeaway,High,0,0,4,25,51,12,2,3,48,9,3,69,5,B,Rain,Pasta,Booth,0,73,100073,24,3,5,8,0,0,0,1
2/1/2024 12:30,Tue,Dinner,Urban,Dine-In,Shoulder,0,1,6,31,56,7,1,1,89,19,2,63,4,D,Rain,Curry,Patio,0,74,100074,49,3,3,4,1,0,1,0
2/1/2024 13:00,Tue,Dinner,Urban,Dine-In,Shoulder,0,1,3,25,48,8,2,4,100,14,4,58,4,B,Clear,Pizza,Booth,0,75,100075,42,2,4,5,1,1,1,0
2/1/2024 13:30,Tue,Dinner,Urban,Dine-In,Shoulder,0,0,2,28,42,6,1,2,78,17,2,47,3,A,Cloudy,Salads,Booth,0,76,100076,41,2,4,6,1,1,1,0
2/1/2024 14:00,Tue,Dinner,Urban,Delivery,Low,0,1,3,19,40,6,2,4,80,17,4,50,3,D,Hot,Pizza,Patio,0,77,100077,43,2,4,5,1,1,1,0
2/1/2024 14:30,Tue,Breakfast,Urban,Dine-In,Low,0,1,1,19,59,8,1,2,57,5,3,61,5,C,Hot,BBQ,Booth,0,78,100078,18,2,4,8,0,1,1,0
2/1/2024 15:00,Tue,Lunch,Tourist,Delivery,High,0,1,2,27,49,6,1,2,83,14,5,53,4,B,Cloudy,Sushi,Standard,0,79,100079,42,2,4,5,1,1,1,0
2/1/2024 15:30,Tue,Breakfast,Urban,Delivery,Low,0,0,2,21,56,7,1,1,72,6,2,63,2,C,Hot,Pizza,Booth,1,80,100080,27,2,3,7,1,1,1,0
2/1/2024 16:00,Tue,Dinner,Urban,Dine-In,High,0,0,2,32,54,9,2,1,85,12,4,43,3,A,Cloudy,Sushi,Standard,0,81,100081,47,2,4,6,1,1,1,0
2/1/2024 16:30,Tue,Dinner,Urban,Dine-In,Shoulder,1,0,3,24,53,8,2,3,88,12,3,62,5,B,Cold,Salads,Standard,0,82,100082,47,3,4,6,1,0,1,0
2/1/2024 17:00,Tue,Lunch,Urban,Dine-In,High,1,0,2,27,50,9,2,1,92,17,4,67,4,A,Clear,Salads,Booth,1,83,100083,55,3,4,4,1,0,1,0
2/1/2024 17:30,Tue,Breakfast,Urban,Dine-In,Shoulder,0,0,4,28,53,9,2,4,62,3,1,60,3,C,Clear,Sushi,Booth,0,84,100084,29,3,5,8,1,0,1,0
2/1/2024 18:00,Tue,Lunch,Suburban,Dine-In,High,0,0,3,30,44,6,1,2,85,13,5,52,3,D,Clear,BBQ,Patio,0,85,100085,52,2,4,4,1,1,1,0
2/1/2024 18:30,Tue,Lunch,Tourist,Takeaway,High,0,0,3,26,39,5,1,2,98,12,5,63,4,A,Cloudy,Curry,Booth,0,86,100086,65,2,4,4,1,1,1,0
2/1/2024 19:00,Tue,Dinner,Suburban,Dine-In,High,0,0,2,26,48,6,1,3,97,14,3,57,3,B,Cloudy,BBQ,Booth,0,87,100087,48,2,4,4,1,1,1,0
2/1/2024 19:30,Tue,Dinner,Suburban,Dine-In,Low,0,1,3,30,54,7,1,2,85,20,4,64,5,B,Storm,Curry,Standard,0,88,100088,45,2,3,4,1,1,1,0
2/1/2024 20:00,Tue,Dinner,Tourist,Dine-In,High,1,1,4,31,40,8,2,4,74,12,4,67,3,C,Hot,BBQ,Standard,0,89,100089,34,3,5,8,1,0,1,0
2/1/2024 20:30,Tue,Afternoon,Tourist,Delivery,High,0,0,2,31,56,8,1,1,70,1,2,57,4,C,Hot,Salads,High-Top,0,90,100090,29,3,4,8,1,0,1,0
2/1/2024 21:00,Tue,Breakfast,Urban,Dine-In,Shoulder,0,0,2,28,60,12,2,4,58,5,2,67,4,C,Storm,BBQ,Standard,0,91,100091,14,3,5,9,0,0,0,1
2/1/2024 21:30,Tue,Dinner,Suburban,Delivery,Shoulder,0,0,2,31,54,6,1,3,84,10,3,61,2,C,Storm,Pizza,Standard,0,92,100092,46,2,4,5,1,1,1,0
2/1/2024 22:00,Tue,Dinner,Urban,Dine-In,Shoulder,0,0,1,29,38,8,2,2,97,14,5,48,4,B,Clear,Curry,Standard,0,93,100093,50,2,5,5,1,1,1,0
2/1/2024 22:30,Tue,Dinner,Urban,Dine-In,High,0,0,2,28,68,6,1,4,100,11,5,43,3,B,Storm,BBQ,Booth,0,94,100094,59,1,3,3,1,1,1,0
2/1/2024 23:00,Tue,Dinner,Urban,Dine-In,High,0,1,2,27,56,7,1,4,85,13,4,55,1,B,Cloudy,BBQ,Standard,0,95,100095,37,2,4,5,1,1,1,0
2/1/2024 23:30,Tue,Afternoon,Suburban,Dine-In,High,0,0,4,27,55,8,1,3,75,1,4,44,3,A,Rain,Salads,Standard,0,96,100096,24,2,4,5,0,1,1,0
3/1/2024 0:00,Wed,Afternoon,Urban,Dine-In,High,0,0,3,24,51,8,2,2,60,4,3,32,4,D,Cloudy,Burgers,Booth,0,97,100097,22,2,4,8,0,1,1,0
3/1/2024 0:30,Wed,Afternoon,Urban,Dine-In,Shoulder,0,0,3,28,62,7,1,2,65,2,3,71,6,D,Storm,Burgers,Booth,0,98,100098,31,3,4,6,1,0,1,0
3/1/2024 1:00,Wed,Breakfast,Tourist,Dine-In,Low,0,0,4,28,64,8,1,2,50,9,2,57,5,D,Hot,BBQ,Patio,0,99,100099,23,3,4,8,0,0,0,1
3/1/2024 1:30,Wed,Breakfast,Suburban,Dine-In,Shoulder,0,0,2,27,52,9,2,4,59,3,4,62,5,A,Cloudy,Burgers,High-Top,0,100,100100,18,2,5,9,0,1,1,0
3/1/2024 2:00,Wed,Breakfast,Urban,Dine-In,High,0,1,3,23,51,7,1,3,67,7,2,67,4,C,Hot,BBQ,Standard,0,101,100101,17,3,4,9,0,0,0,1
3/1/2024 2:30,Wed,Dinner,Suburban,Takeaway,High,0,0,2,28,43,7,2,3,64,14,3,55,4,C,Cloudy,Pizza,High-Top,0,102,100102,39,3,4,7,1,0,1,0
3/1/2024 3:00,Wed,Lunch,Urban,Dine-In,High,0,1,3,32,51,7,1,2,94,14,4,47,4,C,Hot,Salads,High-Top,0,103,100103,46,2,4,6,1,1,1,0
3/1/2024 3:30,Wed,Afternoon,Tourist,Dine-In,High,0,0,2,18,61,9,1,5,63,6,3,85,3,B,Cold,BBQ,Standard,0,104,100104,30,3,5,7,1,0,1,0
3/1/2024 4:00,Wed,Late Night,Urban,Delivery,Shoulder,1,0,1,26,77,10,1,2,76,7,3,69,4,A,Cloudy,Pasta,Booth,0,105,100105,38,3,3,6,1,0,1,0
3/1/2024 4:30,Wed,Lunch,Urban,Takeaway,Shoulder,0,0,2,31,33,7,2,2,97,17,4,83,4,D,Hot,Sushi,Booth,0,106,100106,53,3,5,5,1,0,1,0
3/1/2024 5:00,Wed,Afternoon,Urban,Delivery,High,1,0,4,27,55,8,1,5,58,8,2,61,3,C,Rain,Salads,Standard,0,107,100107,28,3,5,8,1,0,1,0
3/1/2024 5:30,Wed,Dinner,Urban,Dine-In,High,0,0,4,36,46,6,1,3,77,18,5,51,2,D,Clear,Curry,Booth,0,108,100108,45,2,3,4,1,1,1,0
3/1/2024 6:00,Wed,Lunch,Urban,Takeaway,Shoulder,0,0,4,22,54,6,1,5,78,10,3,55,4,C,Cloudy,Pasta,Standard,1,109,100109,46,2,3,4,1,1,1,0
3/1/2024 6:30,Wed,Breakfast,Suburban,Dine-In,High,0,1,4,20,64,7,1,3,57,1,3,66,5,D,Rain,Pasta,Standard,1,110,100110,15,3,3,8,0,0,0,1
3/1/2024 7:00,Wed,Lunch,Suburban,Dine-In,Low,0,0,3,29,48,7,1,2,100,18,5,65,2,B,Clear,Pizza,Standard,0,111,100111,56,2,4,4,1,1,1,0
3/1/2024 7:30,Wed,Lunch,Tourist,Takeaway,Shoulder,0,0,3,32,62,7,1,3,92,15,3,32,2,A,Cloudy,Sushi,Standard,0,112,100112,53,2,4,4,1,1,1,0
3/1/2024 8:00,Wed,Late Night,Tourist,Dine-In,High,0,0,2,25,51,9,2,2,54,2,4,80,5,C,Rain,Pasta,Booth,0,113,100113,29,4,5,10,1,0,1,0
3/1/2024 8:30,Wed,Dinner,Tourist,Dine-In,High,1,1,2,33,44,8,2,4,91,12,4,41,2,C,Rain,Sushi,Standard,0,114,100114,45,2,5,4,1,1,1,0
3/1/2024 9:00,Wed,Dinner,Urban,Dine-In,Shoulder,0,0,3,26,39,8,2,4,79,15,3,47,3,C,Cold,BBQ,Booth,0,115,100115,44,2,5,7,1,1,1,0
3/1/2024 9:30,Wed,Dinner,Tourist,Takeaway,High,0,0,4,27,49,6,1,3,78,13,3,56,4,C,Rain,Salads,Standard,1,116,100116,38,3,4,7,1,0,1,0
3/1/2024 10:00,Wed,Dinner,Urban,Dine-In,Low,0,1,2,31,47,9,2,3,93,15,4,59,3,A,Cold,Salads,Standard,0,117,100117,40,2,4,5,1,1,1,0
3/1/2024 10:30,Wed,Lunch,Suburban,Dine-In,High,0,1,2,27,56,6,1,2,89,9,5,53,4,A,Storm,Salads,Booth,0,118,100118,48,2,4,5,1,1,1,0
3/1/2024 11:00,Wed,Dinner,Tourist,Dine-In,Low,0,1,3,32,65,7,1,4,75,13,4,50,3,C,Hot,Pizza,Booth,0,119,100119,48,3,3,6,1,0,1,0
3/1/2024 11:30,Wed,Afternoon,Urban,Dine-In,Shoulder,0,0,3,28,72,8,1,3,64,5,2,65,4,D,Clear,Sushi,Booth,0,120,100120,32,3,4,6,1,0,1,0
3/1/2024 12:00,Wed,Dinner,Urban,Delivery,High,1,0,1,26,40,7,2,3,89,11,4,56,4,B,Hot,Sushi,Standard,0,121,100121,41,2,4,5,1,1,1,0
3/1/2024 12:30,Wed,Dinner,Suburban,Dine-In,Low,0,0,1,29,50,8,2,2,83,12,4,66,4,C,Hot,Pasta,Standard,0,122,100122,53,2,4,6,1,1,1,0
3/1/2024 13:00,Wed,Lunch,Urban,Dine-In,High,0,1,2,26,56,5,1,3,99,12,3,62,2,B,Cold,Salads,Standard,1,123,100123,48,3,3,5,1,0,1,0
3/1/2024 13:30,Wed,Breakfast,Suburban,Delivery,High,0,0,1,21,65,7,1,2,70,2,3,69,3,D,Hot,Pasta,Standard,0,124,100124,35,2,4,5,1,1,1,0
3/1/2024 14:00,Wed,Lunch,Urban,Dine-In,Low,0,1,2,26,69,8,1,1,91,11,5,65,2,C,Rain,BBQ,Booth,0,125,100125,49,2,4,4,1,1,1,0
3/1/2024 14:30,Wed,Afternoon,Tourist,Dine-In,Low,0,0,2,24,58,8,1,2,42,6,3,68,6,C,Cold,Pasta,Booth,0,126,100126,20,3,5,8,0,0,0,1
3/1/2024 15:00,Wed,Dinner,Suburban,Takeaway,Shoulder,0,0,2,28,51,6,1,2,100,10,5,53,3,B,Hot,Salads,Booth,1,127,100127,49,2,3,3,1,1,1,0
3/1/2024 15:30,Wed,Dinner,Tourist,Dine-In,High,0,1,4,28,68,5,1,2,82,11,4,39,3,C,Cold,Sushi,Patio,0,128,100128,46,2,3,3,1,1,1,0
3/1/2024 16:00,Wed,Breakfast,Suburban,Dine-In,Shoulder,0,0,3,18,63,8,1,2,57,0,3,84,4,D,Storm,Pasta,High-Top,0,129,100129,22,3,4,10,0,0,0,1
3/1/2024 16:30,Wed,Afternoon,Tourist,Takeaway,Shoulder,1,1,3,29,55,9,2,3,56,9,3,81,2,A,Cold,Pasta,Patio,0,130,100130,19,3,4,10,0,0,0,1
3/1/2024 17:00,Wed,Afternoon,Suburban,Takeaway,Low,0,0,3,18,52,7,1,2,49,8,4,53,4,B,Cloudy,Sushi,Booth,0,131,100131,26,2,4,9,1,1,1,0
3/1/2024 17:30,Wed,Lunch,Urban,Takeaway,Low,0,0,1,29,52,8,2,0,95,17,5,62,4,A,Rain,Sushi,Standard,0,132,100132,45,2,4,6,1,1,1,0
3/1/2024 18:00,Wed,Breakfast,Suburban,Delivery,Low,0,0,4,22,69,9,1,3,54,6,4,70,3,B,Clear,Salads,Booth,0,133,100133,32,3,4,7,1,0,1,0
3/1/2024 18:30,Wed,Lunch,Tourist,Takeaway,Low,0,1,3,29,58,6,1,3,91,14,4,46,3,A,Cloudy,BBQ,Booth,0,134,100134,52,2,3,2,1,1,1,0
3/1/2024 19:00,Wed,Late Night,Suburban,Takeaway,Shoulder,0,1,3,24,53,7,1,4,53,4,4,79,4,D,Cloudy,Curry,High-Top,0,135,100135,23,3,4,8,0,0,0,1
3/1/2024 19:30,Wed,Lunch,Urban,Takeaway,Shoulder,0,0,1,29,51,3,1,3,82,17,4,57,3,D,Cloudy,Salads,Standard,0,136,100136,45,2,2,4,1,1,1,0
3/1/2024 20:00,Wed,Afternoon,Suburban,Dine-In,Shoulder,0,1,1,27,56,7,1,4,60,5,2,54,4,C,Hot,Pasta,Patio,0,137,100137,23,3,4,8,0,0,0,1
3/1/2024 20:30,Wed,Dinner,Suburban,Dine-In,High,0,0,4,32,49,5,1,2,85,7,3,43,2,D,Cold,Salads,Booth,1,138,100138,52,2,4,4,1,1,1,0
